DRAW,DATE,GAME,AB1,AB2,AB3,AB4,AB5,AB6,BB,WIN1,DIV1,WIN2,DIV2,WIN3,DIV3,WIN4,DIV4,WIN5,DIV5,WIN6,DIV6,WIN7,DIV7,WIN8,DIV8,WIN9,DIV9
1758,2017-11-01,LOTTO,28,12,3,47,42,43,23,0,0,0,0,43,8699.80,112,2650.90,2407,207.20,3857,112.40,50667,50.00,43929,20.00
1757,2017-10-28,LOTTO,46,6,19,38,45,1,50,0,0,0,0,58,6860.50,122,2588.50,3310,160.30,3695,124.80,63908,50.00,40829,20.00
1756,2017-10-25,LOTTO,18,5,39,14,52,32,17,0,0,0,0,50,6750.10,98,2733.30,2391,188.20,3172,123.30,48448,50.00,39087,20.00
1755,2017-10-21,LOTTO,37,36,20,23,442,7,24,0,0,1,127465.70,42,5278.10,141,1965.20,2757,168.90,3850,105.10,56349,50.00,45448,20.00
1754,2017-10-18,LOTTO,23,45,38,9,43,25,18,0,0,3,32901.60,52,3301.10,131,1638.00,2546,141.60,3793,82.50,45657,50.00,39032,20.00
1753,2017-10-14,LOTTO,21,33,22,5,1,44,16,0,0,2,60933.30,57,3718.30,134,1977.10,3496,127.30,4499,86.00,61659,50.00,47065,20.00
1752,2017-10-11,LOTTO,28,24,5,42,15,49,41,0,0,0,0,43,6808.30,81,2868.50,2294,170.20,2600,130.50,45211,50.00,29245,20.00
1751,2017-10-07,LOTTO,43,18,50,29,22,32,25,0,0,1,128735.00,49,4569.10,145,1930.00,2820,166.70,3904,104.70,52505,50.00,40453,20.00
1750,2017-10-04,LOTTO,33,38,27,35,25,1,12,0,0,4,25182.10,27,6488.00,109,2008.90,2384,154.30,3283,97.40,47561,50.00,37280,20.00
1749,2017-09-30,LOTTO,19,24,7,51,11,25,26,0,0,0,0,74,3834.70,160,1407.60,3663,103.30,4546,72.30,64674,50.00,42190,20.00
1748,2017-09-27,LOTTO,44,11,16,8,10,35,52,0,0,0,0,36,5865.60,62,2703.10,2029,138.70,1874,130.50,40469,50.00,21197,20.00
1747,2017-09-23,LOTTO,2,33,43,19,31,52,22,0,0,2,53540.90,29,6421.70,97,2399.80,1914,204.30,3148,108.00,41018,50.00,36738,20.00
1746,2017-09-20,LOTTO,22,7,34,37,3,24,44,0,0,0,0,42,4403.90,80,1835.00,2375,103.90,2633,81.30,40572,50.00,27764,20.00
1745,2017-09-16,LOTTO,37,2,7,10,33,44,11,1,16010159.70,2,50069.00,60,2902.50,164,1327.40,2840,128.80,4521,68.80,51758,50.00,48273,20.00
1744,2017-09-13,LOTTO,49,19,4,21,10,31,350,0,0,0,0,53,4110.60,92,1879.40,2311,125.60,2886,87.60,42552,50.00,29386,20.00
1743,2017-09-09,LOTTO,35,16,27,51,9,37,400,0,0,0,0,58,5214.30,99,2424.50,2666,151.30,3089,113.40,47006,50.00,34105,20.00
1742,2017-09-06,LOTTO,24,51,1,44,7,29,23,0,0,1,100400.80,27,6467.10,86,2537.90,1766,207.60,2370,134.50,39895,50.00,29762,20.00
1741,2017-09-02,LOTTO,30,25,3,4,1,21,41,0,0,1,113943.10,63,3145.40,119,2081.50,3582,116.20,3389,106.70,67007,50.00,37593,20.00
1740,2017-08-30,LOTTO,32,35,10,33,39,42,31,1,6586613.80,0,0,30,8220.30,126,1553.40,1909,172.20,3321,86.10,37642,50.00,27102,20.00
1739,2017-08-26,LOTTO,36,28,34,25,1,49,14,0,0,0,0,30,10727.50,105,2432.50,2284,187.90,3267,114.10,48006,50.00,36050,20.00
1738,2017-08-23,LOTTO,27,7,40,1,26,6,10,1,25448845.90,2,42678.30,43,3452.30,113,1642.10,2326,134.00,3777,71.70,44296,50.00,38599,20.00
1737,2017-08-19,LOTTO,42,13,47,33,23,51,52,0,0,2,59036.30,58,3540.40,131,1959.40,2716,158.80,3067,122.20,48978,50.00,33074,20.00
1736,2017-08-16,LOTTO,50,49,31,28,39,22,21,0,0,1,97450.70,24,6626.80,65,3058.50,1666,200.50,2150,135.00,33037,50.00,25416,20.00
1735,2017-08-12,LOTTO,24,46,34,40,41,38,9,0,0,0,0,30,10093.90,83,2895.60,2067,195.30,3073,114.20,42127,50.00,34180,20.00
1734,2017-08-09,LOTTO,46,1,20,27,32,10,8,0,0,1,76079.60,32,4134.80,72,2297.00,1857,149.60,2793,86.50,35367,50.00,30439,20.00
1733,2017-08-05,LOTTO,31,45,6,39,7,33,14,0,0,3,38870.60,31,6542.00,113,2243.40,2430,175.30,3442,107.50,49531,50.00,38129,20.00
1732,2017-08-02,LOTTO,31,49,8,39,29,12,17,0,0,1,98139.10,43,3969.30,119,1792.80,2209,162.20,3294,94.60,41688,50.00,37203,20.00
1731,2017-07-29,LOTTO,26,49,16,25,35,19,48,0,0,0,0,69,9598.90,167,3285.60,3663,136.30,4178,122.10,62786,50.00,0,0
1730,2017-07-26,LOTTO,23,9,24,49,10,38,5,1,17527655.10,1,316095.10,60,4353.80,125,3826.20,2608,166.80,4209,105.70,48321,50.00,0,0
1729,2017-07-22,LOTTO,31,27,11,30,13,45,46,0,0,0,0,60,10565.20,147,3572.40,3370,141.70,3529,138.40,58454,50.00,0,0
1728,2017-07-19,LOTTO,8,9,38,16,5,2,26,0,0,1,230530.10,77,2474.20,165,2114.00,3666,86.60,3803,85.20,55833,50.00,0,0
1727,2017-07-15,LOTTO,46,17,13,26,48,30,34,0,0,1,373938.10,55,5618.70,134,4222.30,2838,181.30,4019,131.00,54616,50.00,0,0
1726,2017-07-12,LOTTO,35,33,31,40,24,1,4,0,0,0,0,25,20271.10,119,3527.90,2302,156.90,3975,98.20,44747,50.00,0,0
1725,2017-07-08,LOTTO,5,40,33,38,45,36,27,0,0,0,0,44,14620.20,132,4037.30,3300,146.90,4214,117.60,57538,50.00,0,0
1724,2017-07-05,LOTTO,44,16,29,32,30,37,10,1,6141825.90,1,318412.80,37,7112.00,111,4340.30,2200,119.30,3614,123.90,43653,50.00,0,0
1723,2017-07-01,LOTTO,19,26,16,25,12,6,48,0,0,1,346424.00,100,2862.90,179,2928.30,5286,90.30,4771,102.20,80579,50.00,0,0
1722,2017-06-28,LOTTO,15,20,30,25,29,47,38,1,18894330.20,0,0,49,11086.10,130,3461.70,3255,125.70,3518,119.00,49572,50.00,0,0
1721,2017-06-24,LOTTO,42,37,15,31,26,18,49,0,0,1,376873.60,75,4152.80,137,4162.20,3306,156.90,4056,130.70,58592,50.00,0,0
1720,2017-06-21,LOTTO,18,9,5,24,8,44,30,0,0,3,76580.70,50,3797.20,165,2106.80,3139,100.70,3587,90.10,53907,50.00,0,0
1719,2017-06-17,LOTTO,15,31,22,34,36,7,38,0,0,0,0,78,7136.60,144,3202.40,3488,120.30,4142,103.60,62847,50.00,0,0
1718,2017-06-14,LOTTO,14,19,42,12,33,11,27,0,0,0,0,55,7933.10,172,2101.50,2872,114.50,5948,56.50,51013,50.00,0,0
1717,2017-06-10,LOTTO,27,4,42,12,47,11,28,0,0,1,324478.30,43,6236.20,145,3385.90,3596,124.20,3831,119.20,62781,50.00,0,0
1716,2017-06-07,LOTTO,28,13,1,3,32,45,10,0,0,1,273073.70,46,4905.90,120,3443.10,2315,162.40,3704,103.70,48696,50.00,0,0
1715,2017-06-03,LOTTO,33,23,26,6,47,46,22,1,25475570.70,1,441413.90,63,5790.40,181,3690.00,3735,162.60,5071,122.50,68249,50.00,0,0
1714,2017-05-31,LOTTO,30,44,48,14,39,34,35,0,0,1,357596.00,44,6716.50,128,4227.10,2708,181.70,3543,141.90,50036,50.00,0,0
1713,2017-05-27,LOTTO,11,6,21,10,39,47,17,0,0,0,0,88,8598.60,248,2527.60,3925,145.30,6642,87.80,69962,50.00,0,0
1712,2017-05-24,LOTTO,30,40,14,9,1,16,39,0,0,0,0,44,10792.30,113,3481.20,2738,130.70,3029,120.80,49019,50.00,0,0
1711,2017-05-20,LOTTO,2,12,30,23,1,41,34,0,0,4,87998.70,66,4407.50,185,2878.90,3196,151.60,4343,114.00,60651,50.00,0,0
1710,2017-05-17,LOTTO,41,25,32,28,27,12,36,0,0,2,149226.60,30,8221.60,110,4105.20,2242,183.30,3391,123.90,43126,50.00,0,0
1709,2017-05-13,LOTTO,26,8,10,32,9,22,17,0,0,0,0,57,10621.20,174,2882.40,3338,136.60,5124,91.00,62889,50.00,0,0
1708,2017-05-10,LOTTO,26,43,41,5,19,44,33,0,0,1,302444.10,34,7351.40,125,3661.00,2395,173.90,3991,106.60,47833,50.00,0,0
1707,2017-05-06,LOTTO,4,9,2,30,48,32,35,1,13785355.20,2,208004.50,66,5209.00,162,3885.40,3649,156.90,5258,111.40,71739,50.00,0,0
1706,2017-05-03,LOTTO,24,37,9,16,11,30,49,0,0,4,81237.10,79,3399.30,154,3192.70,3846,116.30,3983,114.70,65448,50.00,0,0
1705,2017-04-29,LOTTO,1,7,29,43,47,22,45,0,0,5,82571.90,64,5331.20,152,4109.70,3783,150.20,4528,128.30,72126,50.00,0,0
1704,2017-04-26,LOTTO,9,48,13,35,47,2,31,0,0,1,338412.30,45,6215.00,93,5505.70,2627,177.20,3403,140.00,52029,50.00,0,0
1703,2017-04-22,LOTTO,23,38,26,47,18,3,22,1,34494651.00,1,503043.00,88,4724.10,227,3353.00,4918,140.80,6467,109.40,88251,50.00,0,0
1702,2017-04-19,LOTTO,20,35,13,48,26,39,22,0,0,1,425303.20,70,5021.20,233,2761.90,3633,161.10,5464,109.60,61991,50.00,0,0
1701,2017-04-15,LOTTO,35,38,23,27,49,14,21,0,0,4,119474.40,59,6694.00,183,3951.30,4104,160.30,5832,115.30,75206,50.00,0,0
1700,2017-04-12,LOTTO,15,26,6,43,20,18,37,0,0,2,199687.60,84,3929.20,238,2539.00,4132,133.00,5753,97.70,76229,50.00,0,0
1699,2017-04-08,LOTTO,34,27,22,44,8,9,1,0,0,2,265891.90,121,3632.00,283,2843.10,5929,123.50,7988,93.60,103643,50.00,0,0
1698,2017-04-05,LOTTO,8,43,26,11,6,35,27,0,0,1,430117.60,81,4388.40,198,3286.90,4168,142.00,5511,109.90,76369,50.00,0,0
1697,2017-04-01,LOTTO,23,24,47,31,3,35,2,0,0,3,194757.40,88,5487.00,241,3668.20,4933,163.00,6194,132.70,90494,50.00,0,0
1696,2017-03-29,LOTTO,11,28,29,13,18,31,40,0,0,4,95541.20,78,4049.00,174,3323.30,4285,122.80,4930,109.10,73451,50.00,0,0
1695,2017-03-25,LOTTO,25,5,24,9,19,1,17,1,3848511.70,9,46287.90,187,1841.10,521,1209.80,7660,74.80,11883,49.30,113611,50.00,0,0
1694,2017-03-22,LOTTO,35,5,22,7,17,25,49,1,5721912.20,4,57758.00,145,1316.70,205,1705.20,6078,52.40,4851,67.10,84250,50.00,0,0
1693,2017-03-18,LOTTO,5,2,49,7,20,13,21,0,0,3,129450.10,132,2431.40,251,2341.00,5762,92.70,6716,81.30,91602,50.00,0,0
1692,2017-03-15,LOTTO,25,1,36,31,14,13,37,1,30676533.10,0,0,64,11100.00,197,2987.40,3780,141.60,5076,107.80,70484,50.00,0,0
