DRAW,DATE,GAME,AB1,AB2,AB3,AB4,AB5,AB6,BB,WIN1,DIV1,WIN2,DIV2,WIN3,DIV3,WIN4,DIV4,WIN5,DIV5,WIN6,DIV6,WIN7,DIV7,WIN8,DIV8,OB1,OB2,OB3,OB4,OB5,OB6
1614,2016-06-15,LOTTO,32,47,23,29,6,26,19,0,0.00,1,293310.00,36,6733.00,148,2999.00,2223,182.00,3752,110.00,41664,50.00,0,0.00,6,23,26,29,32,47
1615,2016-06-18,LOTTO,15,6,35,49,3,28,12,0,0.00,1,351704.00,64,4542.00,142,3748.00,3152,154.00,4835,102.00,57925,50.00,0,0.00,3,6,15,28,35,49
1616,2016-06-22,LOTTO,42,17,35,19,36,7,32,0,0.00,1,237733.00,51,3852.00,114,3155.00,2891,113.00,3507,95.00,50811,50.00,0,0.00,7,17,19,35,36,42
1617,2016-06-25,LOTTO,28,20,4,44,46,15,26,0,0.00,1,422710.00,73,4785.00,153,4180.00,3424,170.00,4442,134.00,64524,50.00,0,0.00,4,15,20,28,44,46
1618,2016-06-29,LOTTO,36,9,13,47,25,46,42,1,15246350.00,0,0.00,52,12115.00,111,4702.00,2511,189.00,3445,141.00,48131,50.00,0,0.00,9,13,25,36,46,47
1619,2016-07-02,LOTTO,40,33,24,3,4,23,37,1,3693591.00,0,0.00,96,7607.00,167,3623.00,4067,135.00,5356,105.00,78343,50.00,0,0.00,3,4,23,24,33,40
1620,2016-07-06,LOTTO,11,21,3,22,14,16,5,0,0.00,2,139221.00,89,2586.00,396,1064.00,4073,94.00,6386,61.00,65802,50.00,0,0.00,3,11,14,16,21,22
1621,2016-07-09,LOTTO,12,40,21,16,34,15,23,1,6083391.00,3,126690.00,85,3695.00,184,3125.00,3972,132.00,5289,101.00,75375,50.00,0,0.00,12,15,16,21,34,40
1622,2016-07-13,LOTTO,4,39,47,11,45,32,25,0,0.00,0,0.00,56,10493.00,164,2968.00,2361,188.00,3422,132.00,46266,50.00,0,0.00,4,11,32,39,45,47
1623,2016-07-16,LOTTO,48,7,34,37,4,31,22,0,0.00,2,195837.00,83,3900.00,271,2187.00,4146,130.00,6331,87.00,77522,50.00,0,0.00,4,7,31,34,37,48
1624,2016-07-20,LOTTO,36,24,49,13,27,48,17,0,0.00,2,163264.00,46,5866.00,147,3361.00,2430,185.00,4324,106.00,47480,50.00,0,0.00,13,24,27,36,48,49
1625,2016-07-23,LOTTO,16,38,36,24,5,41,4,0,0.00,1,437638.00,75,4822.00,142,4663.00,3981,151.00,5206,118.00,70968,50.00,0,0.00,5,16,24,36,38,41
1626,2016-07-27,LOTTO,28,19,2,40,22,45,1,0,0.00,2,208336.00,90,3826.00,180,3503.00,4059,141.00,5171,113.00,71901,50.00,0,0.00,2,19,22,28,40,45
1627,2016-07-30,LOTTO,29,30,34,43,28,49,40,1,35244637.00,1,623709.00,75,6873.00,212,4452.00,4188,205.00,6240,141.00,81088,50.00,0,0.00,28,29,30,34,43,49
1628,2016-08-03,LOTTO,44,43,11,7,20,8,28,0,0.00,3,89392.00,49,4523.00,197,2060.00,2923,126.00,3902,97.00,57490,50.00,0,0.00,7,8,11,20,43,44
1629,2016-08-06,LOTTO,40,1,8,11,14,48,16,0,0.00,1,383299.00,69,4591.00,191,3036.00,3937,134.00,5687,95.00,69216,50.00,0,0.00,1,8,11,14,40,48
1630,2016-08-10,LOTTO,35,3,30,41,37,45,24,0,0.00,0,0.00,27,20430.00,95,4810.00,2160,192.00,3356,127.00,42657,50.00,0,0.00,3,30,35,37,41,45
1631,2016-08-13,LOTTO,20,9,14,4,17,24,12,1,12003288.00,6,57640.00,117,2443.00,335,1562.00,5092,94.00,7730,63.00,79197,50.00,0,0.00,4,9,14,17,20,24
1632,2016-08-17,LOTTO,16,43,29,23,22,5,10,0,0.00,0,0.00,43,11816.00,143,2944.00,2523,152.00,4041,97.00,46765,50.00,0,0.00,5,16,22,23,29,43
